model,benchmark,metric,SAE_mean,AAE_mean,AAE_minus_SAE,wilcoxon_statistic,p_value,cohens_dz,direction,significant_p05,effect_size_category,n
gpt-5,Daily_Dilemmas,moral_acceptability,4.611,4.833,0.222,2.0,0.25683925795785656,0.275,AAE_higher,False,small,18
gpt-5,Daily_Dilemmas,responsibility,4.778,4.278,-0.5,3.0,0.09558070454562939,-0.341,AAE_lower,False,small,18
gpt-5,Daily_Dilemmas,trustworthiness,4.389,4.389,0.0,18.0,1.0,0.0,no_difference,False,negligible,18
gpt-5,Daily_Dilemmas,compassion,4.167,4.167,0.0,10.5,1.0,0.0,no_difference,False,negligible,18
gpt-5,Daily_Dilemmas,fairness,4.278,4.5,0.222,2.5,0.15729920705028516,0.344,AAE_higher,False,small,18
gpt-5,Daily_Dilemmas,consequences,2.722,2.333,-0.389,1.5,0.10247043485974941,-0.397,AAE_lower,False,small,18
gpt-5,Daily_Dilemmas,recommendation,4.111,4.222,0.111,10.5,0.5270892568655381,0.147,AAE_higher,False,negligible,18
gpt-5,MoReBench,moral_acceptability,5.273,5.364,0.091,0.0,0.15729920705028505,0.309,AAE_higher,False,small,22
gpt-5,MoReBench,responsibility,5.318,5.364,0.045,20.0,0.7388826803635273,0.07,AAE_higher,False,negligible,22
gpt-5,MoReBench,trustworthiness,5.182,5.227,0.045,12.0,0.7054569861112734,0.079,AAE_higher,False,negligible,22
gpt-5,MoReBench,compassion,4.773,4.818,0.045,12.0,0.7054569861112734,0.079,AAE_higher,False,negligible,22
gpt-5,MoReBench,fairness,4.682,4.773,0.091,5.0,0.4795001221869535,0.149,AAE_higher,False,negligible,22
gpt-5,MoReBench,consequences,1.909,1.773,-0.136,1.5,0.4142161782425251,-0.192,AAE_lower,False,negligible,22
gpt-5,MoReBench,recommendation,5.091,5.136,0.045,6.0,0.6547208460185769,0.094,AAE_higher,False,negligible,22
