scenario_id,dialect,path,audio_file
1,AAE,1,data/audio/aae/scenario1_AAE_path1.wav
1,AAE,2,data/audio/aae/scenario1_AAE_path2.wav
1,SAE,1,data/audio/sae/scenario1_SAE_path1.wav
1,SAE,2,data/audio/sae/scenario1_SAE_path2.wav
2,AAE,1,data/audio/aae/scenario2_AAE_path1.wav
2,AAE,2,data/audio/aae/scenario2_AAE_path2.wav
2,SAE,1,data/audio/sae/scenario2_SAE_path1.wav
2,SAE,2,data/audio/sae/scenario2_SAE_path2.wav
3,AAE,1,data/audio/aae/scenario3_AAE_path1.wav
3,AAE,2,data/audio/aae/scenario3_AAE_path2.wav
3,SAE,1,data/audio/sae/scenario3_SAE_path1.wav
3,SAE,2,data/audio/sae/scenario3_SAE_path2.wav
4,AAE,1,data/audio/aae/scenario4_AAE_path1.wav
4,AAE,2,data/audio/aae/scenario4_AAE_path2.wav
4,SAE,1,data/audio/sae/scenario4_SAE_path1.wav
4,SAE,2,data/audio/sae/scenario4_SAE_path2.wav
5,AAE,1,data/audio/aae/scenario5_AAE_path1.wav
5,AAE,2,data/audio/aae/scenario5_AAE_path2.wav
5,SAE,1,data/audio/sae/scenario5_SAE_path1.wav
5,SAE,2,data/audio/sae/scenario5_SAE_path2.wav
6,AAE,1,data/audio/aae/scenario6_AAE_path1.wav
6,AAE,2,data/audio/aae/scenario6_AAE_path2.wav
6,SAE,1,data/audio/sae/scenario6_SAE_path1.wav
6,SAE,2,data/audio/sae/scenario6_SAE_path2.wav
7,AAE,1,data/audio/aae/scenario7_AAE_path1.wav
7,AAE,2,data/audio/aae/scenario7_AAE_path2.wav
7,SAE,1,data/audio/sae/scenario7_SAE_path1.wav
7,SAE,2,data/audio/sae/scenario7_SAE_path2.wav
8,AAE,1,data/audio/aae/scenario8_AAE_path1.wav
8,AAE,2,data/audio/aae/scenario8_AAE_path2.wav
8,SAE,1,data/audio/sae/scenario8_SAE_path1.wav
8,SAE,2,data/audio/sae/scenario8_SAE_path2.wav
9,AAE,1,data/audio/aae/scenario9_AAE_path1.wav
9,AAE,2,data/audio/aae/scenario9_AAE_path2.wav
9,SAE,1,data/audio/sae/scenario9_SAE_path1.wav
9,SAE,2,data/audio/sae/scenario9_SAE_path2.wav
10,AAE,1,data/audio/aae/scenario10_AAE_path1.wav
10,AAE,2,data/audio/aae/scenario10_AAE_path2.wav
10,SAE,1,data/audio/sae/scenario10_SAE_path1.wav
10,SAE,2,data/audio/sae/scenario10_SAE_path2.wav
11,AAE,1,data/audio/aae/scenario11_AAE_path1.wav
11,AAE,2,data/audio/aae/scenario11_AAE_path2.wav
11,SAE,1,data/audio/sae/scenario11_SAE_path1.wav
11,SAE,2,data/audio/sae/scenario11_SAE_path2.wav
12,AAE,1,data/audio/aae/scenario12_AAE_path1.wav
12,AAE,2,data/audio/aae/scenario12_AAE_path2.wav
12,SAE,1,data/audio/sae/scenario12_SAE_path1.wav
12,SAE,2,data/audio/sae/scenario12_SAE_path2.wav
13,AAE,1,data/audio/aae/scenario13_AAE_path1.wav
13,AAE,2,data/audio/aae/scenario13_AAE_path2.wav
13,SAE,1,data/audio/sae/scenario13_SAE_path1.wav
13,SAE,2,data/audio/sae/scenario13_SAE_path2.wav
14,AAE,1,data/audio/aae/scenario14_AAE_path1.wav
14,AAE,2,data/audio/aae/scenario14_AAE_path2.wav
14,SAE,1,data/audio/sae/scenario14_SAE_path1.wav
14,SAE,2,data/audio/sae/scenario14_SAE_path2.wav
15,AAE,1,data/audio/aae/scenario15_AAE_path1.wav
15,AAE,2,data/audio/aae/scenario15_AAE_path2.wav
15,SAE,1,data/audio/sae/scenario15_SAE_path1.wav
15,SAE,2,data/audio/sae/scenario15_SAE_path2.wav
16,AAE,1,data/audio/aae/scenario16_AAE_path1.wav
16,AAE,2,data/audio/aae/scenario16_AAE_path2.wav
16,SAE,1,data/audio/sae/scenario16_SAE_path1.wav
16,SAE,2,data/audio/sae/scenario16_SAE_path2.wav
17,AAE,1,data/audio/aae/scenario17_AAE_path1.wav
17,AAE,2,data/audio/aae/scenario17_AAE_path2.wav
17,SAE,1,data/audio/sae/scenario17_SAE_path1.wav
17,SAE,2,data/audio/sae/scenario17_SAE_path2.wav
18,AAE,1,data/audio/aae/scenario18_AAE_path1.wav
18,AAE,2,data/audio/aae/scenario18_AAE_path2.wav
18,SAE,1,data/audio/sae/scenario18_SAE_path1.wav
18,SAE,2,data/audio/sae/scenario18_SAE_path2.wav
19,AAE,1,data/audio/aae/scenario19_AAE_path1.wav
19,AAE,2,data/audio/aae/scenario19_AAE_path2.wav
19,SAE,1,data/audio/sae/scenario19_SAE_path1.wav
19,SAE,2,data/audio/sae/scenario19_SAE_path2.wav
20,AAE,1,data/audio/aae/scenario20_AAE_path1.wav
20,AAE,2,data/audio/aae/scenario20_AAE_path2.wav
20,SAE,1,data/audio/sae/scenario20_SAE_path1.wav
20,SAE,2,data/audio/sae/scenario20_SAE_path2.wav
