model,benchmark,metric,SAE_mean,AAE_mean,AAE_minus_SAE,wilcoxon_statistic,p_value,cohens_dz,direction,significant_p05,effect_size_category,n
gpt-audio,Daily_Dilemmas,moral_acceptability,4.35,3.85,-0.5,7.0,0.057805611748857254,-0.454,AAE_lower,False,small,20
gpt-audio,Daily_Dilemmas,responsibility,4.75,4.5,-0.25,23.0,0.35290082341101536,-0.224,AAE_lower,False,small,20
gpt-audio,Daily_Dilemmas,trustworthiness,4.6,4.3,-0.3,9.0,0.08326451666355039,-0.409,AAE_lower,False,small,20
gpt-audio,Daily_Dilemmas,compassion,4.1,3.9,-0.2,13.5,0.2482130789899235,-0.26,AAE_lower,False,small,20
gpt-audio,Daily_Dilemmas,fairness,4.4,4.0,-0.4,12.0,0.10062230917221894,-0.382,AAE_lower,False,small,20
gpt-audio,Daily_Dilemmas,consequences,3.0,3.25,0.25,10.5,0.2720394478957354,0.259,AAE_higher,False,small,20
gpt-audio,Daily_Dilemmas,recommendation,4.4,3.95,-0.45,10.5,0.07533430042209706,-0.409,AAE_lower,False,small,20
gpt-audio,MoReBench,moral_acceptability,4.45,4.45,0.0,29.5,0.7450735474402868,0.0,no_difference,False,negligible,20
gpt-audio,MoReBench,responsibility,5.05,5.0,-0.05,29.5,0.7450735474402868,-0.044,AAE_lower,False,negligible,20
gpt-audio,MoReBench,trustworthiness,4.85,4.8,-0.05,36.5,0.8368424499991831,-0.039,AAE_lower,False,negligible,20
gpt-audio,MoReBench,compassion,3.9,4.1,0.2,9.0,0.3804551252503885,0.21,AAE_higher,False,small,20
gpt-audio,MoReBench,fairness,4.05,4.2,0.15,10.5,0.5461210117770652,0.144,AAE_higher,False,negligible,20
gpt-audio,MoReBench,consequences,3.15,3.05,-0.1,15.5,0.7192640278554812,-0.093,AAE_lower,False,negligible,20
gpt-audio,MoReBench,recommendation,4.35,4.55,0.2,33.0,0.6263543610340876,0.13,AAE_higher,False,negligible,20
