model,benchmark,metric,SAE_mean,AAE_mean,AAE_minus_SAE,wilcoxon_statistic,p_value,cohens_dz,direction,significant_p05,effect_size_category,n
deepseek_v4_pro,Daily_Dilemmas,moral_acceptability,4.0,3.933,-0.067,14.0,1.0,-0.065,AAE_lower,False,negligible,15
deepseek_v4_pro,Daily_Dilemmas,responsibility,4.667,4.267,-0.4,22.0,0.5655707358352986,-0.227,AAE_lower,False,small,15
deepseek_v4_pro,Daily_Dilemmas,trustworthiness,4.133,4.067,-0.067,17.5,0.9416269114492879,-0.057,AAE_lower,False,negligible,15
deepseek_v4_pro,Daily_Dilemmas,compassion,4.133,3.667,-0.467,23.5,0.20792599427863623,-0.344,AAE_lower,False,small,15
deepseek_v4_pro,Daily_Dilemmas,fairness,4.2,3.867,-0.333,17.0,0.5094231585898558,-0.199,AAE_lower,False,negligible,15
deepseek_v4_pro,Daily_Dilemmas,consequences,3.067,2.867,-0.2,28.5,0.6802795473344503,-0.131,AAE_lower,False,negligible,15
deepseek_v4_pro,Daily_Dilemmas,recommendation,3.867,3.733,-0.133,15.5,0.7192640278554812,-0.107,AAE_lower,False,negligible,15
deepseek_v4_pro,MoReBench,moral_acceptability,4.714,4.762,0.048,9.0,0.7388826803635273,0.071,AAE_higher,False,negligible,21
deepseek_v4_pro,MoReBench,responsibility,4.905,5.19,0.286,22.5,0.5892320338994574,0.188,AAE_higher,False,negligible,21
deepseek_v4_pro,MoReBench,trustworthiness,4.571,4.762,0.19,36.0,0.7962534147376392,0.143,AAE_higher,False,negligible,21
deepseek_v4_pro,MoReBench,compassion,4.286,4.476,0.19,33.0,1.0,0.127,AAE_higher,False,negligible,21
deepseek_v4_pro,MoReBench,fairness,4.238,4.381,0.143,49.0,0.4987087206929147,0.141,AAE_higher,False,negligible,21
deepseek_v4_pro,MoReBench,consequences,2.238,2.095,-0.143,17.5,0.9416269114492879,-0.109,AAE_lower,False,negligible,21
deepseek_v4_pro,MoReBench,recommendation,4.524,4.762,0.238,36.0,0.47549931294167447,0.195,AAE_higher,False,negligible,21
