model_family,benchmark,metric,AAE_minus_SAE,p_value,cohens_dz,effect_size_category,n,low_power
gpt-5,Daily_Dilemmas,consequences,-0.389,0.1024704348597494,-0.397,small,18,False
Claude,MoReBench,compassion,0.136,0.0832645166635503,0.388,small,22,False
DeepSeek-V4-Pro,Daily_Dilemmas,compassion,-0.467,0.2079259942786362,-0.344,small,15,False
gpt-5,Daily_Dilemmas,fairness,0.222,0.1572992070502851,0.344,small,18,False
gpt-5,Daily_Dilemmas,responsibility,-0.5,0.0955807045456293,-0.341,small,18,False
Claude,MoReBench,consequences,-0.091,0.157299207050285,-0.309,small,22,False
gpt-5,MoReBench,moral_acceptability,0.091,0.157299207050285,0.309,small,22,False
gpt-5,Daily_Dilemmas,moral_acceptability,0.222,0.2568392579578565,0.275,small,18,False
Claude,Daily_Dilemmas,compassion,0.167,0.2568392579578565,0.27,small,18,False
DeepSeek-V4-Pro,Daily_Dilemmas,responsibility,-0.4,0.5655707358352986,-0.227,small,15,False
Claude,MoReBench,trustworthiness,0.045,0.3173105078629141,0.213,small,22,False
DeepSeek-V4-Pro,Daily_Dilemmas,fairness,-0.333,0.5094231585898558,-0.199,negligible,15,False
DeepSeek-V4-Pro,MoReBench,recommendation,0.238,0.4754993129416744,0.195,negligible,21,False
Claude,MoReBench,responsibility,-0.136,0.4142161782425251,-0.192,negligible,22,False
gpt-5,MoReBench,consequences,-0.136,0.4142161782425251,-0.192,negligible,22,False
Claude,Daily_Dilemmas,consequences,-0.111,0.4142161782425253,-0.191,negligible,18,False
DeepSeek-V4-Pro,MoReBench,responsibility,0.286,0.5892320338994574,0.188,negligible,21,False
gpt-5,MoReBench,fairness,0.091,0.4795001221869535,0.149,negligible,22,False
Claude,Daily_Dilemmas,fairness,0.111,0.5270892568655381,0.147,negligible,18,False
gpt-5,Daily_Dilemmas,recommendation,0.111,0.5270892568655381,0.147,negligible,18,False
DeepSeek-V4-Pro,MoReBench,trustworthiness,0.19,0.7962534147376392,0.143,negligible,21,False
DeepSeek-V4-Pro,MoReBench,fairness,0.143,0.4987087206929147,0.141,negligible,21,False
Claude,Daily_Dilemmas,responsibility,-0.167,0.7551230351541788,-0.133,negligible,18,False
DeepSeek-V4-Pro,Daily_Dilemmas,consequences,-0.2,0.6802795473344503,-0.131,negligible,15,False
DeepSeek-V4-Pro,MoReBench,compassion,0.19,1.0,0.127,negligible,21,False
Claude,MoReBench,recommendation,0.045,0.5637028616507731,0.121,negligible,22,False
DeepSeek-V4-Pro,MoReBench,consequences,-0.143,0.941626911449288,-0.109,negligible,21,False
DeepSeek-V4-Pro,Daily_Dilemmas,recommendation,-0.133,0.7192640278554812,-0.107,negligible,15,False
Claude,MoReBench,moral_acceptability,-0.045,0.6547208460185769,-0.094,negligible,22,False
gpt-5,MoReBench,recommendation,0.045,0.6547208460185769,0.094,negligible,22,False
gpt-5,MoReBench,trustworthiness,0.045,0.7054569861112734,0.079,negligible,22,False
gpt-5,MoReBench,compassion,0.045,0.7054569861112734,0.079,negligible,22,False
Claude,Daily_Dilemmas,moral_acceptability,0.056,0.7388826803635273,0.077,negligible,18,False
DeepSeek-V4-Pro,MoReBench,moral_acceptability,0.048,0.7388826803635273,0.071,negligible,21,False
gpt-5,MoReBench,responsibility,0.045,0.7388826803635273,0.07,negligible,22,False
DeepSeek-V4-Pro,Daily_Dilemmas,moral_acceptability,-0.067,1.0,-0.065,negligible,15,False
DeepSeek-V4-Pro,Daily_Dilemmas,trustworthiness,-0.067,0.941626911449288,-0.057,negligible,15,False
Claude,Daily_Dilemmas,trustworthiness,0.0,1.0,0.0,negligible,18,False
Claude,Daily_Dilemmas,recommendation,0.0,1.0,0.0,negligible,18,False
Claude,MoReBench,fairness,0.0,1.0,0.0,negligible,22,False
gpt-5,Daily_Dilemmas,trustworthiness,0.0,1.0,0.0,negligible,18,False
gpt-5,Daily_Dilemmas,compassion,0.0,1.0,0.0,negligible,18,False
